Isolate_name_long	"Isolate_name_short (No duplicates, must be in caps if unpub)"	virus	Accession	Variant	Date y-m-d	Country	State	Authors	Pub title	Host	lat	long
AUS/NSW/RED-1/2017	RED-1	RHDV	unpub	GI.4eP_GI.1a	10/10/2017	AUS	NSW	Hall et al	unpub	Domestic	-33.014137	151.704482
AUS/NSW/RUS-1/2016 	RUS-1	RHDV	MF421589.1 	GI.1bP_GI.2	15/02/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-29.753278	152.889971
AUS/NSW/SGA-1/2016 	SGA-1	RHDV	MF421595.1 	GI.1bP_GI.2	11/08/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-29.725933	152.942365
AUS/NSW/SWI-1/2016 	SWI-1	RHDV	MF421654.1 	GI.1bP_GI.2	12/01/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.646725	150.802511
AUS/NSW/TAR-2/2015 	TAR-2	RHDV	MF421639.1 	GI.1bP_GI.2	21/08/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.092453	149.679019
AUS/NSW/TUB-1/2016	TUB-1	RHDV	unpub	GI.4eP_GI.1a	13/07/2016	AUS	NSW	Hall et al	unpub	Wild	-34.185851	148.007269
AUS/NSW/WAL-1/2015	WAL-1	RHDV	KY628320.1 	GI.4eP_GI.1a	1/01/2015	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-31.028033	151.686739
AUS/NSW/WAT1-13/2007 	WAT1-13	RHDV	KT006731.1 	GI.1c	9/12/2007	AUS	NSW	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-35.119967	148.982904
AUS/NSW/WES-1/2015 	WES-1	RHDV	MF421644.1 	GI.1bP_GI.2	15/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.331654	149.060165
AUS/NSW/YAR-1/2015 	YAR-1	RHDV	MF421701.1 	GI.4eP_GI.1a	1/09/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.215364	151.267294
AUS/NSW/YRR-1/2017	YRR-1	RHDV	unpub	GI.1a	2/03/2017	AUS	NSW	Hall et al	unpub	Unknown	-34.787267	149.608786
AUS/NT/ASP-1/2016 	ASP-1	RHDV	MF421660.1 	GI.1bP_GI.2	21/04/2016	AUS	NT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-23.698073	133.880246
AUS/NT/DAR-1/2015 	DAR-1	RHDV	MF421659.1 	GI.1bP_GI.2	2/12/2015	AUS	NT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Unknown	-12.465425	130.85141
AUS/QLD/CRY-1/2017	CRY-1	RHDV	unpub	GI.1bP_GI.2	27/03/2017	AUS	QLD	Hall et al	unpub	Wild	-27.522544	151.935017
AUS/QLD/HFL-5/2017	HFL-5	RHDV	unpub	GI.1bP_GI.2	21/02/2017	AUS	QLD	Hall et al	unpub	Wild	-27.489752	151.947141
AUS/QLD/HFL-7/2017	HFL-7	RHDV	unpub	GI.4eP_GI.1a	6/07/2017	AUS	QLD	Hall et al	unpub	Wild	-27.4884	151.945574
AUS/QLD/MMR-1/2017	MMR-1	RHDV	unpub	GI.1bP_GI.2	7/12/2017	AUS	QLD	Hall et al	unpub	Unknown	-27.888547	151.267038
AUS/QLD/MTNM-1/2017	MTNM-1	RHDV	unpub	GI.1bP_GI.2	1/11/2017	AUS	QLD	Hall et al	unpub	Unknown	-28.873025	151.973378
AUS/QLD/WCP-1/2016	WCP-1	RHDV	unpub	GI.1bP_GI.2	22/11/2016	AUS	QLD	Hall et al	unpub	Unknown	-27.5397	152.71344
AUS/QLD/WGE-5/2017	WGE-5	RHDV	unpub	GI.1bP_GI.2	3/03/2017	AUS	QLD	Hall et al	unpub	Wild	-28.91356461	151.9332451
AUS/QLD/WGR-5/2016	WGR-5	RHDV	unpub	GI.1bP_GI.2	25/10/2016	AUS	QLD	Hall et al	unpub	Wild	-28.914118	151.935586
AUS/QLD/WLM-1/2017	WLM-1	RHDV	unpub	GI.1a	28/03/2017	AUS	QLD	Hall et al	unpub	Wild	-27.461481	151.914665
AUS/QLD/WWK-2/2017	WWK-2	RHDV	unpub	GI.1bP_GI.2	4/05/2017	AUS	QLD	Hall et al	unpub	Wild	-27.455712	151.96686
AUS/QLD/WWK-8/2017	WWK-8	RHDV	unpub	GI.1bP_GI.2	22/11/2017	AUS	QLD	Hall et al	unpub	Unknown	-27.428984	151.731115
AUS/SA/ADL-1/2016 	ADL-1	RHDV	MF421662.1 	GI.1bP_GI.2	27/02/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.928321	138.600085
AUS/SA/BAL-2/2016 	BAL-2	RHDV	MF421673.1 	GI.1bP_GI.2	28/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.146675	138.421474
AUS/SA/BAL-3/2016 	BAL-3	RHDV	MF421674.1 	GI.1bP_GI.2	28/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.146675	138.421474
AUS/SA/BillaKallina/2004 	BillaKallina_2004	RHDV	KT006740.1 	GI.1c	1/06/2004	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-29.862814	136.372029
AUS/SA/BLAK-1/2016 	BLAK-1	RHDV	MF421613.1 	GI.1bP_GI.2	18/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.050015	138.883771
AUS/SA/BRA-1/2016 	BRA-1	RHDV	MF421618.1 	GI.1bP_GI.2	24/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-33.676585	135.032761
AUS/SA/Bulgania/2009 	Bulgania_2009	RHDV	KT006745.1 	GI.1c	1/06/2009	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-28.297098	134.053827
AUS/SA/COL-1/2016 	COL-1	RHDV	MF421619.1 	GI.1bP_GI.2	29/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.962694	139.745222
AUS/SA/COL-2/2016  	COL-2	RHDV	MF421620.1 	GI.1bP_GI.2	29/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.962694	139.745222
AUS/SA/COO-1/2016 	COO-1	RHDV	MF421601.1 	GI.1bP_GI.2	6/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-36.006457	140.266621
AUS/SA/Coorong/2004 	Coorong_2004	RHDV	KT006739.1 	GI.1c	1/06/2004	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-35.667105	139.091062
AUS/SA/CRA-1/2016 	CRA-1	RHDV	MF421598.1 	GI.1bP_GI.2	17/01/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.982356	138.706136
AUS/SA/CRK-1/2016 	CRK-1	RHDV	MF421617.1 	GI.1bP_GI.2	19/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.428578	138.332178
AUS/SA/CV-1/2016 	CV-1	RHDV	MF421607.1 	GI.1bP_GI.2	27/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.633162	138.835921
AUS/SA/FlindersRanges/1999 	FlindersRanges_1999	RHDV	KT006734.1 	GI.1c	1/06/1999	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-31.409718	138.749811
AUS/SA/FlindersRanges/2002 	FlindersRanges_2002	RHDV	KT006737.1 	GI.1c	1/06/2002	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-31.355886	138.672414
AUS/SA/FlindersRanges/2006	FlindersRanges_2006	RHDV	KT006742.1 	GI.1c	1/06/2006	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-31.355886	138.672414
AUS/SA/GLE-1/2016 	GLE-1	RHDV	MF421672.1 	GI.1bP_GI.2	9/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-37.68307	140.595357
AUS/SA/Hillbank/2008 	Hillbank_2008	RHDV	KT006744.1 	GI.1c	1/06/2008	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-34.730789	138.687969
AUS/SA/HLT-1/2017	HLT-1	RHDV	unpub	GI.1bP_GI.2	1/06/2017	AUS	SA	Hall et al	unpub	Wild	-28.819008	138.134765
AUS/SA/KAL-1/2016 	KAL-1	RHDV	MF421603.1 	GI.1bP_GI.2	13/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-37.561976	140.701888
AUS/SA/KAL-2/2016 	KAL-2	RHDV	MF421604.1 	GI.1bP_GI.2	13/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-37.561976	140.701888
AUS/SA/KAL-3/2016 	KAL-3	RHDV	MF421611.1 	GI.1bP_GI.2	17/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-37.561976	140.701888
AUS/SA/KOM-1/2017	KOM-1	RHDV	unpub	GI.1bP_GI.2	1/12/2017	AUS	SA	Hall et al	unpub	Unknown	-34.215535	140.337151
AUS/SA/KOO-1/2016 	KOO-1	RHDV	MF421671.1 	GI.1bP_GI.2	22/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-33.567764	138.325658
AUS/SA/LEA-1/2016 	LEA-1	RHDV	MF421616.1 	GI.1bP_GI.2	5/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-33.97988	138.633685
AUS/SA/LH-1/2016 	LH-1	RHDV	MF421605.1 	GI.1bP_GI.2	16/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.040346	138.864967
AUS/SA/LMR-1/2017	LMR-1	RHDV	unpub	GI.1bP_GI.2	10/05/2017	AUS	SA	Hall et al	unpub	Unknown	-35.356305	140.15763
AUS/SA/LMR-3/2017	LMR-3	RHDV	unpub	GI.1bP_GI.2	7/07/2017	AUS	SA	Hall et al	unpub	Unknown	-35.460567	140.686967
AUS/SA/LYN-1/2016 	LYN-1	RHDV	MF421599.1 	GI.1bP_GI.2	27/02/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.001733	138.604278
AUS/SA/MAC-1/2016 	MAC-1	RHDV	MF421602.1 	GI.1bP_GI.2	10/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.174287	138.835881
AUS/SA/MAC-2/2016 	MAC-2	RHDV	MF421606.1 	GI.1bP_GI.2	20/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.174099	138.834753
AUS/SA/MBR-1/2015 	MBR-1	RHDV	MF421661.1 	GI.1bP_GI.2	1/12/2015	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.131827	139.262723
AUS/SA/MEA-1/2016 	MEA-1	RHDV	MF421574.1 	GI.1bP_GI.2	12/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Hare	-35.18171	138.762284
AUS/SA/MIL-1/2016 	MIL-1	RHDV	MF421666.1 	GI.1bP_GI.2	7/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-37.633835	140.352726
AUS/SA/MTO-1/2016 	MTO-1	RHDV	MF421615.1 	GI.1bP_GI.2	3/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.866528	138.957934
AUS/SA/MTO-2/2016 	MTO-2	RHDV	MF421612.1 	GI.1bP_GI.2	17/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.874367	138.96271
AUS/SA/MUN-1/2016 	MUN-1	RHDV	MF421600.1 	GI.1bP_GI.2	5/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.393937	140.641656
AUS/SA/MUN-2/2016 	MUN-2	RHDV	MF421575.1 	GI.1bP_GI.2	23/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Hare	-36.393457	140.639864
AUS/SA/MUN-3/2016 	MUN-3	RHDV	MF421665.1 	GI.1bP_GI.2	5/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.392735	140.639566
AUS/SA/NAI-1/2016 	NAI-1	RHDV	MF421667.1 	GI.1bP_GI.2	7/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.041883	138.911003
AUS/SA/NGA-1/2017	NGA-1	RHDV	unpub	GI.1bP_GI.2	19/06/2017	AUS	SA	Hall et al	unpub	Wild	-35.536976	140.766535
AUS/SA/NUR-1/2016 	NUR-1	RHDV	MF421663.1 	GI.1bP_GI.2	1/03/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.466196	138.992167
AUS/SA/OneTreeHill/2003 	OneTreeHill_2003	RHDV	KT006738.1 	GI.1c	1/06/2003	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-34.715121	138.750314
AUS/SA/ONK-1/2016 	ONK-1	RHDV	MF421664.1 	GI.1bP_GI.2	16/03/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.143861	138.542081
AUS/SA/ORA383/2008 	ORA383	RHDV	KX357695.1 	GI.1c	29/10/2008	AUS	SA	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Unknown	-31.364185	138.621822
AUS/SA/ORO-1/2016  	ORO-1	RHDV	MF421621.1 	GI.1bP_GI.2	6/07/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-32.673784	138.633848
AUS/SA/PAR-1/2015 	PAR-1	RHDV	MF421597.1 	GI.1bP_GI.2	15/12/2015	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-34.717537	140.746545
AUS/SA/REY-1/2016 	REY-1	RHDV	MF421669.1 	GI.1bP_GI.2	21/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.094306	138.517745
AUS/SA/REY-2/2016 	REY-2	RHDV	MF421670.1 	GI.1bP_GI.2	21/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.094306	138.517745
AUS/SA/ROB-1/2016 	ROB-1	RHDV	MF421668.1 	GI.1bP_GI.2	12/04/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-37.16668	139.801849
AUS/SA/Robe/2000 	Robe_2000	RHDV	KT006736.1 	GI.1c	1/06/2000	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-37.171078	139.803523
AUS/SA/RSP-1/2017	RSP-1	RHDV	unpub	GI.1bP_GI.2	11/12/2017	AUS	SA	Hall et al	unpub	Wild	-34.059287	137.55851
AUS/SA/STR-1/2016 	STR-1	RHDV	MF421610.1 	GI.1bP_GI.2	16/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-36.981603	140.601221
AUS/SA/TIN-2/2016 	TIN-2	RHDV	MF421576.1 	GI.1bP_GI.2	24/06/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Hare	-35.881675	140.054761
AUS/SA/TUR06/2006	TUR06	RHDV	KF594474.1 	GI.1c	1/09/2006	AUS	SA	Elsworth et al	Increased virulence of Rabbit Haemorrhagic Disease Virus associated with genetic resistance in wild Australian rabbits (Oryctolagus cuniculus)	Wild	-34.55	138.829878
AUS/SA/TUR07/2007	TUR07	RHDV	KF594475.1 	GI.1c	1/09/2007	AUS	SA	Elsworth et al	Increased virulence of Rabbit Haemorrhagic Disease Virus associated with genetic resistance in wild Australian rabbits (Oryctolagus cuniculus)	Wild	-34.55	138.829878
AUS/SA/TUR09/2009	TUR09	RHDV	KF594476.1 	GI.1c	1/09/2009	AUS	SA	Elsworth et al	Increased virulence of Rabbit Haemorrhagic Disease Virus associated with genetic resistance in wild Australian rabbits (Oryctolagus cuniculus)	Wild	-34.55	138.829878
AUS/SA/TUR-1606/2016 	TUR-1606	RHDV	MF421609.1 	GI.1bP_GI.2	4/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.537208	138.844747
AUS/SA/TUR-1607/2016 	TUR-1607	RHDV	MF421608.1 	GI.1bP_GI.2	1/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.537208	138.844747
AUS/SA/WIT-1/2016 	WIT-1	RHDV	MF421577.1 	GI.1bP_GI.2	1/07/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Hare	-34.670801	138.884427
AUS/SA/WKA-1/2018	WKA-1	RHDV	unpub	GI.4eP_GI.2	3/07/2018	AUS	SA	Hall et al	unpub	Wild	-36.45828	140.35939
AUS/SA/Woodcroft/2005 	Woodcroft_2005	RHDV	KT006741.1 	GI.1c	1/06/2005	AUS	SA	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-35.100622	138.560053
AUS/SA/WS-1/2016 	WS-1	RHDV	MF421614.1 	GI.1bP_GI.2	23/05/2016	AUS	SA	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.960455	138.904354
AUS/TAS/BRK-1/2016 	BRK-1	RHDV	MF421565.1 	GI.1bP_GI.2	30/06/2016	AUS	TAS	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-41.652548	146.921057
AUS/TAS/GEE-2/2016 	GEE-2	RHDV	MF421570.1 	GI.1c	14/10/2016	AUS	TAS	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-43.191899	146.959277
AUS/TAS/GLH-2/2017	GLH-2	RHDV	unpub	GI.1bP_GI.2	16/06/2017	AUS	TAS	Hall et al	unpub	Domestic	-43.012522	146.927038
AUS/TAS/GLH-3/2017	GLH-3	RHDV	unpub	GI.1bP_GI.2	1/09/2017	AUS	TAS	Hall et al	unpub	Domestic	-43.012522	146.927038
AUS/TAS/GOO-1/2017	GOO-1	RHDV	unpub	GI.1bP_GI.2	31/01/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.826999	147.292454
AUS/TAS/GRA-1/2016 	GRA-1	RHDV	MF421569.1 	GI.1c	9/10/2016	AUS	TAS	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-42.764721	147.230622
AUS/TAS/GRA-6/2017	GRA-6	RHDV	unpub	GI.1bP_GI.2	28/10/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.764721	147.230622
AUS/TAS/HCL-1/2017	HCL-1	RHDV	unpub	GI.4eP_GI.2	3/08/2017	AUS	TAS	Hall et al	unpub	Domestic	-41.172743	145.822689
AUS/TAS/HOB-3/2017	HOB-3	RHDV	unpub	GI.1bP_GI.2	13/07/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.850499	147.376525
AUS/TAS/HOB-4/2017	HOB-4	RHDV	unpub	GI.1bP_GI.2	13/08/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.850492	147.37652
AUS/TAS/HOB-5/2017	HOB-5	RHDV	unpub	GI.1bP_GI.2	17/09/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.850492	147.37652
AUS/TAS/HUO-3/2017	HUO-3	RHDV	unpub	GI.1c	13/02/2017	AUS	TAS	Hall et al	unpub	Domestic	-43.027938	147.062651
AUS/TAS/HWD-1/2017	HWD-1	RHDV	unpub	GI.1bP_GI.2	11/05/2017	AUS	TAS	Hall et al	unpub	Wild	-41.24241	146.99203
AUS/TAS/LEG-2/2017	LEG-2	RHDV	unpub	GI.1a	1/05/2017	AUS	TAS	Hall et al	unpub	Unknown	-41.380223	146.952801
AUS/TAS/NNF-1/2017	NNF-1	RHDV	unpub	GI.1bP_GI.2	15/07/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.796405	147.056463
AUS/TAS/RAI-1/2017	RAI-1	RHDV	unpub	GI.1bP_GI.2	13/05/2017	AUS	TAS	Hall et al	unpub	Unknown	-41.368886	146.410675
AUS/TAS/RAN-1/2017	RAN-1	RHDV	unpub	GI.4eP_GI.2	30/05/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.990925	147.037068
AUS/TAS/SNU-2/2017	SNU-2	RHDV	unpub	GI.1bP_GI.2	12/11/2017	AUS	TAS	Hall et al	unpub	Domestic	-43.074384	147.221609
AUS/TAS/SouthArm/2007  	SouthArm_2007	RHDV	KT006743.1 	GI.1c	1/06/2007	AUS	TAS	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-43.027426	147.423955
AUS/TAS/SPR-1/2016 	SPR-1	RHDV	MF421675.1 	GI.1bP_GI.2	19/04/2016	AUS	TAS	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-41.216722	146.352421
AUS/TAS/SRL-7/2017	SRL-7	RHDV	unpub	GI.1bP_GI.2	3/11/2017	AUS	TAS	Hall et al	unpub	Domestic	-42.785631	147.561303
AUS/VIC/AC-1/2016 	AC-1	RHDV	MF421684.1 	GI.1bP_GI.2	15/01/2016	AUS	VIC	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-37.57119	145.164095
AUS/VIC/AC-2/2016 	AC-2	RHDV	MF421685.1 	GI.1bP_GI.2	15/01/2016	AUS	VIC	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-37.57119	145.164095
AUS/VIC/ALV-1/2017	ALV-1	RHDV	unpub	GI.4eP_GI.2	5/02/2017	AUS	VIC	Hall et al	unpub	Domestic	-38.236246	143.495986
AUS/VIC/AWA-1/2016 	AWA-1	RHDV	MF421691.1 	GI.1bP_GI.2	18/03/2016	AUS	VIC	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-38.395298	145.888715
AUS/VIC/AWA-4/2016 	AWA-4	RHDV	MF421689.1 	GI.1bP_GI.2	18/03/2016	AUS	VIC	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-38.395298	145.888715
